FID,area,perimeter,distance
585131,181.5412346,66.04071754,520.2469556
585132,192.8354067,58.86316531,530.731238
585133,164.8687143,55.99336444,513.6027425
585134,310.4231637,143.6565047,491.7969804
585135,159.4334573,71.33350021,471.431194
585136,54.41247932,32.07605458,445.6791368
585137,2563.895206,400.3062655,428.6790145
585138,339.2318648,112.0798038,379.9172318
585139,15197.36485,722.2448881,1563.45702
585140,193.2649845,84.96214306,2221.35961
585141,518.48779,113.3273279,2654.181953
585142,40013.56683,1001.984139,334.0188018
585143,2351.236782,291.5633157,270.2638046
585176,2205.34832,193.1815834,16121.18373
585540,40394.15301,1511.981977,13048.42928
585541,205570.3998,3103.007851,13649.20702
585542,13118.01093,661.5878317,12673.66078
